Feature,Importance,Rank
num__amt_instalment_mean,0.0013675361,325
num__payment_diff_median,0.0013668273,326
num__LIVINGAPARTMENTS_MODE,0.0013667537,327
num__REG_REGION_NOT_LIVE_REGION,0.001364724,328
num__old_payment_mean,0.0013646801,329
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0013616971,330
num__cnt_instalment_sum,0.0013606779,331
num__amt_instalment_median,0.0013581079,332
num__days_termination_mean,0.0013571796,333
num__ELEVATORS_AVG,0.0013551849,334
num__max_payment,0.0013547082,335
num__amt_application_max,0.0013538525,336
num__sk_dpd_std_y,0.001353261,337
num__num_instalment_number_mean,0.0013524004,338
num__BASEMENTAREA_MEDI,0.00135193,339
cat__FONDKAPREMONT_MODE_reg oper account,0.0013512713,340
num__FLOORSMIN_MODE,0.0013503517,341
num__REG_CITY_NOT_WORK_CITY,0.0013485557,342
num__days_credit_enddate_std,0.0013472498,343
num__cnt_instalment_min,0.0013467361,344
num__amt_payment_q95,0.0013465916,345
cat__NAME_HOUSING_TYPE_Rented apartment,0.0013454616,346
num__payment_ratio_min_x,0.0013454423,347
num__pos_late_ratio,0.00134494,348
num__old_overpay,0.0013433557,349
num__num_instalment_number_min,0.0013413442,350
"cat__WALLSMATERIAL_MODE_Stone, brick",0.0013405756,351
num__days_first_due_mean,0.0013390606,352
num__NONLIVINGAPARTMENTS_MEDI,0.0013380812,353
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0013368471,354
num__COMMONAREA_MEDI,0.0013364317,355
num__amt_credit_mean,0.0013361183,356
num__payment_cv_missing,0.0013317706,357
num__days_credit_min,0.0013317518,358
num__COMMONAREA_MODE,0.0013317113,359
num__underpay_amount_mean,0.0013285768,360
num__sk_dpd_sum_x,0.0013270812,361
num__exactpayment_ratio,0.0013261929,362
num__days_credit_sum,0.0013254221,363
cat__NAME_TYPE_SUITE_Other_A,0.0013235022,364
num__amt_annuity_std,0.0013224529,365
num__amt_down_payment_min,0.0013221623,366
num__payment_diff_std,0.0013211279,367
num__COMMONAREA_AVG,0.001320273,368
num__payment_ratio_max_y,0.001319788,369
num__amt_payment_total_current_sum,0.0013191102,370
num__days_decision_min,0.0013187729,371
num__amt_credit_limit_actual_std,0.0013185955,372
num__AMT_REQ_CREDIT_BUREAU_DAY,0.0013166039,373
num__bb_closed_ratio_mean,0.0013144681,374
num__amt_application_mean,0.0013144277,375
num__amt_goods_price_min,0.0013128452,376
num__bb_late_ratio_std,0.0013114071,377
num__days_credit_enddate_min,0.0013113456,378
num__days_enddate_fact_min,0.0013108787,379
num__amt_drawings_atm_current_std,0.0013106392,380
num__last_late_days,0.001309642,381
num__amt_application_min,0.0013088898,382
num__payment_cv,0.001305869,383
num__recent_vs_overall_payment,0.0013056042,384
num__days_decision_sum,0.0013048258,385
num__latepayment_count,0.0013047681,386
num__LIVE_REGION_NOT_WORK_REGION,0.0013046251,387
cat__NAME_HOUSING_TYPE_House / apartment,0.0013032571,388
num__payment_ratio_std_x,0.0013009415,389
num__BASEMENTAREA_MODE,0.0012987081,390
num__REGION_POPULATION_RELATIVE,0.0012982793,391
num__NONLIVINGAREA_AVG,0.0012980377,392
num__pos_signed,0.0012941596,393
num__pos_completed,0.0012915157,394
num__days_first_due_min,0.0012908422,395
cat__NAME_TYPE_SUITE_Unaccompanied,0.0012907018,396
num__days_enddate_fact_mean,0.0012901393,397
num__recent_vs_overall_late,0.0012897801,398
num__bb_total_late_min,0.0012889324,399
cat__ORGANIZATION_TYPE_Agriculture,0.0012879721,400
num__sk_dpd_max_x,0.0012876785,401
cat__ORGANIZATION_TYPE_Security Ministries,0.001287672,402
num__late_days_median,0.0012870617,403
num__bb_closed_ratio_std,0.0012851368,404
cat__ORGANIZATION_TYPE_Hotel,0.0012849696,405
num__LANDAREA_MEDI,0.0012838807,406
num__ENTRANCES_MEDI,0.0012837574,407
num__days_first_due_sum,0.0012818533,408
num__HOUR_APPR_PROCESS_START,0.0012816235,409
num__payment_trend,0.0012799727,410
num__days_termination_std,0.0012777628,411
num__late_days_std,0.0012740066,412
num__ELEVATORS_MODE,0.0012711561,413
num__amt_instalment_std,0.0012706486,414
num__cnt_instalment_mean,0.0012687984,415
num__overpay_trend,0.0012677376,416
num__AMT_INCOME_TOTAL,0.0012667909,417
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0012664445,418
num__late_x_underpay,0.0012627298,419
num__drawing_ratio_max,0.0012608243,420
num__old_late_mean,0.0012604619,421
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.0012601326,422
num__MISSING_COUNT,0.0012598633,423
num__pos_late_count,0.00125858,424
num__amt_goods_price_sum,0.0012569487,425
num__GOODS_INCOME_RATIO,0.0012558411,426
num__recent_vs_overall_ratio,0.0012543905,427
num__CHILDREN_RATIO,0.0012538845,428
cat__NAME_HOUSING_TYPE_Office apartment,0.0012522391,429
num__future_installment_ratio_max,0.0012520377,430
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0012515724,431
num__REG_REGION_NOT_WORK_REGION,0.0012512837,432
num__amt_credit_max,0.0012493816,433
num__late_x_ratio_cv,0.0012486784,434
num__INCOME_PER_FAMILY,0.0012470998,435
num__days_credit_std,0.0012424606,436
num__amt_payment_total_current_min,0.0012418436,437
cat__ORGANIZATION_TYPE_Transport: type 4,0.0012406348,438
num__AMT_REQ_CREDIT_BUREAU_MON,0.0012366482,439
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0012357116,440
num__late_skew,0.001235175,441
num__drawing_ratio_sum,0.001233776,442
num__underpay_amount_std,0.0012336769,443
num__days_termination_sum,0.0012325231,444
num__YEARS_BEGINEXPLUATATION_AVG,0.0012313005,445
num__amt_drawings_pos_current_max,0.0012301357,446
num__payment_ratio_mean_y,0.0012294007,447
num__amt_goods_price_mean,0.0012280738,448
num__NONLIVINGAPARTMENTS_AVG,0.0012266149,449
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0012238248,450
num__cnt_drawings_current_min,0.0012225144,451
num__TOTALAREA_MODE,0.0012194291,452
num__credit_day_overdue_mean,0.0012186762,453
num__amt_payment_total_current_max,0.00121717,454
num__last_early_days,0.0012142146,455
num__amt_payment_current_mean,0.0012116344,456
num__amt_instalment_max,0.0012114848,457
num__BASEMENTAREA_AVG,0.0012101753,458
num__amt_application_std,0.0012101143,459
num__underpayment_count,0.0012084122,460
num__LANDAREA_AVG,0.001207165,461
num__amt_payment_total_current_std,0.0012047715,462
num__bb_closed_ratio_min,0.0012002338,463
num__amt_credit_sum_debt_min,0.00119781,464
num__verylatepayment_ratio,0.0011974892,465
num__old_ratio_mean,0.0011906935,466
num__payment_ratio_std_y,0.0011895322,467
num__CNT_FAM_MEMBERS,0.0011884014,468
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0011830734,469
num__bb_total_late_std,0.0011822451,470
cat__ORGANIZATION_TYPE_Realtor,0.0011809216,471
num__late_days_min,0.0011785936,472
num__amt_balance_std,0.0011784699,473
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0011772962,474
cat__FONDKAPREMONT_MODE_reg oper spec account,0.0011770794,475
cat__NAME_TYPE_SUITE_Family,0.0011770468,476
num__old_underpay,0.0011764393,477
num__credit_utilization_std,0.0011754656,478
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0011749602,479
num__FLAG_PHONE,0.0011702683,480
num__amt_balance_mean,0.0011667742,481
num__amt_drawings_pos_current_std,0.0011606826,482
num__FLAG_DOCUMENT_14,0.0011585577,483
num__FLAG_WORK_PHONE,0.0011580295,484
num__YEARS_BUILD_AVG,0.0011518529,485
num__cnt_instalment_future_min,0.0011501582,486
num__amt_payment_total_current_mean,0.0011498064,487
num__amt_drawings_pos_current_mean,0.001148727,488
num__bb_total_late_mean,0.0011483763,489
num__previous_unused_offer,0.0011464132,490
num__ENTRANCES_MODE,0.0011433027,491
num__early_days_std,0.0011412886,492
num__NONLIVINGAREA_MODE,0.001137731,493
cat__ORGANIZATION_TYPE_Industry: type 12,0.0011367656,494
cat__NAME_INCOME_TYPE_Commercial associate,0.0011348727,495
num__previous_canceled,0.0011338571,496
num__sk_dpd_max_y,0.001132047,497
cat__ORGANIZATION_TYPE_Medicine,0.0011266343,498
num__late_days_mean,0.0011250213,499
num__APARTMENTS_AVG,0.0011211664,500
cat__ORGANIZATION_TYPE_Legal Services,0.0011202364,501
num__amt_payment_current_sum,0.0011166494,502
num__LANDAREA_MODE,0.0011158859,503
num__sk_dpd_sum_y,0.0011139842,504
num__min_payment,0.0011132867,505
num__FLAG_DOCUMENT_6,0.0011112973,506
num__cnt_instalment_mature_cum_std,0.0011070124,507
num__underpay_x_amount,0.0011058453,508
num__payment_ratio_median,0.0011051361,509
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.0011039586,510
num__amt_credit_limit_actual_max,0.0011030113,511
cat__WALLSMATERIAL_MODE_Panel,0.001100504,512
num__amt_payment_current_max,0.0010977458,513
cat__NAME_FAMILY_STATUS_Civil marriage,0.0010956487,514
num__amt_application_sum,0.0010922675,515
num__bb_total_late_sum,0.0010887415,516
num__FLAG_DOCUMENT_15,0.0010882124,517
num__cnt_payment_min,0.0010873564,518
cat__NAME_TYPE_SUITE_Children,0.0010823265,519
num__amt_drawings_current_max,0.0010809877,520
cat__WALLSMATERIAL_MODE_Others,0.0010776644,521
num__last_payment_ratio,0.0010734572,522
num__overpay_amount_max,0.0010700254,523
cat__OCCUPATION_TYPE_Managers,0.0010684672,524
num__amt_payment_current_std,0.0010626765,525
num__LIVINGAPARTMENTS_AVG,0.0010575795,526
num__payment_ratio_min_y,0.0010555605,527
num__credit_utilization_sum,0.0010543234,528
num__min_payment_ratio,0.0010542622,529
cat__OCCUPATION_TYPE_Medicine staff,0.0010513046,530
cat__ORGANIZATION_TYPE_Other,0.0010463555,531
num__max_overpay,0.0010385513,532
num__FLAG_EMAIL,0.0010188663,533
cat__ORGANIZATION_TYPE_Kindergarten,0.0010176764,534
num__FLAG_DOCUMENT_8,0.0010145316,535
num__extremelatepayment_ratio,0.001014379,536
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.001001187,537
num__FLOORSMIN_AVG,0.0009999523,538
num__previous_application_count,0.0009976664,539
cat__ORGANIZATION_TYPE_Government,0.0009728903,540
cat__NAME_EDUCATION_TYPE_Academic degree,0.0009715054,541
cat__ORGANIZATION_TYPE_Industry: type 5,0.00097084773,542
cat__ORGANIZATION_TYPE_Services,0.0009648956,543
num__sk_dpd_mean_x,0.00095934235,544
num__LIVE_CITY_NOT_WORK_CITY,0.00095558213,545
cat__ORGANIZATION_TYPE_Industry: type 3,0.0009554131,546
num__amt_drawings_atm_current_max,0.0009545991,547
cat__OCCUPATION_TYPE_Laborers,0.0009397017,548
num__last5_overpay,0.00092634297,549
num__overpay_amount_std,0.0009236409,550
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.00091499795,551
num__CNT_CHILDREN,0.0009033134,552
num__FLAG_DOCUMENT_5,0.0008941367,553
cat__FLAG_OWN_REALTY_N,0.0008719079,554
num__FLOORSMIN_MEDI,0.00086856674,555
num__amt_drawings_current_min,0.0008619777,556
num__future_installment_ratio_min,0.00079307007,557
num__credit_day_overdue_sum,0.00066984934,558
num__perfect_customer,0.000513255,559
cat__FONDKAPREMONT_MODE_org spec account,0.0003573361,560
cat__ORGANIZATION_TYPE_Trade: type 1,0.0,561
num__FLAG_MOBIL,0.0,562
num__FLAG_CONT_MOBILE,0.0,563
cat__ORGANIZATION_TYPE_Telecom,0.0,564
num__min_late_days,0.0,565
num__stable_customer,0.0,566
num__chronic_late_customer,0.0,567
num__pos_approved,0.0,568
num__max_underpay,0.0,569
num__pos_amortized_debt,0.0,570
num__drawing_ratio_min,0.0,571
num__chronic_underpayer,0.0,572
num__payment_ratio_mean_missing,0.0,573
num__amt_payment_mean_missing,0.0,574
num__late_days_mean_missing,0.0,575
num__amt_drawings_atm_current_min,0.0,576
num__amt_drawings_pos_current_min,0.0,577
num__pos_demand,0.0,578
num__sk_dpd_def_std_x,0.0,579
num__sk_dpd_min_x,0.0,580
num__sk_dpd_std_x,0.0,581
num__sk_dpd_def_max_x,0.0,582
num__sk_dpd_def_min_x,0.0,583
cat__ORGANIZATION_TYPE_Security,0.0,584
cat__ORGANIZATION_TYPE_Trade: type 5,0.0,585
cat__ORGANIZATION_TYPE_Trade: type 4,0.0,586
cat__ORGANIZATION_TYPE_Trade: type 3,0.0,587
cat__WALLSMATERIAL_MODE_Monolithic,0.0,588
cat__HOUSETYPE_MODE_block of flats,0.0,589
cat__HOUSETYPE_MODE_terraced house,0.0,590
cat__WALLSMATERIAL_MODE_Mixed,0.0,591
num__sk_dpd_min_y,0.0,592
num__sk_dpd_def_min_y,0.0,593
num__recent_overpay,0.0,594
num__FLAG_DOCUMENT_2,0.0,595
num__max_late_days,0.0,596
num__FLAG_DOCUMENT_7,0.0,597
cat__OCCUPATION_TYPE_Cooking staff,0.0,598
num__FLAG_DOCUMENT_4,0.0,599
num__FLAG_DOCUMENT_12,0.0,600
num__FLAG_DOCUMENT_11,0.0,601
num__FLAG_DOCUMENT_10,0.0,602
num__FLAG_DOCUMENT_9,0.0,603
cat__NAME_INCOME_TYPE_Businessman,0.0,604
cat__NAME_FAMILY_STATUS_Unknown,0.0,605
num__FLAG_DOCUMENT_17,0.0,606
cat__NAME_TYPE_SUITE_Group of people,0.0,607
num__extremelatepayment_count,0.0,608
num__verylatepayment_count,0.0,609
num__num_instalment_version_min,0.0,610
num__overpay_amount_min,0.0,611
num__underpay_amount_min,0.0,612
cat__CODE_GENDER_XNA,0.0,613
cat__FLAG_OWN_REALTY_Y,0.0,614
num__FLAG_DOCUMENT_19,0.0,615
cat__NAME_INCOME_TYPE_Unemployed,0.0,616
cat__NAME_INCOME_TYPE_Student,0.0,617
cat__NAME_INCOME_TYPE_Pensioner,0.0,618
cat__NAME_INCOME_TYPE_Maternity leave,0.0,619
num__amt_credit_sum_overdue_min,0.0,620
num__credit_day_overdue_std,0.0,621
num__credit_day_overdue_min,0.0,622
cat__OCCUPATION_TYPE_Realty agents,0.0,623
cat__ORGANIZATION_TYPE_Industry: type 10,0.0,624
cat__ORGANIZATION_TYPE_Industry: type 1,0.0,625
cat__ORGANIZATION_TYPE_Housing,0.0,626
cat__ORGANIZATION_TYPE_Emergency,0.0,627
cat__ORGANIZATION_TYPE_Culture,0.0,628
cat__ORGANIZATION_TYPE_Electricity,0.0,629
cat__ORGANIZATION_TYPE_Cleaning,0.0,630
cat__ORGANIZATION_TYPE_Advertising,0.0,631
cat__OCCUPATION_TYPE_Security staff,0.0,632
cat__OCCUPATION_TYPE_HR staff,0.0,633
cat__OCCUPATION_TYPE_IT staff,0.0,634
cat__OCCUPATION_TYPE_Secretaries,0.0,635
cat__ORGANIZATION_TYPE_Transport: type 1,0.0,636
cat__ORGANIZATION_TYPE_Industry: type 13,0.0,637
cat__ORGANIZATION_TYPE_Industry: type 2,0.0,638
cat__ORGANIZATION_TYPE_Industry: type 11,0.0,639
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.0,640
num__FLAG_DOCUMENT_21,0.0,641
num__FLAG_DOCUMENT_20,0.0,642
cat__ORGANIZATION_TYPE_XNA,0.0,643
cat__ORGANIZATION_TYPE_Transport: type 2,0.0,644
cat__ORGANIZATION_TYPE_University,0.0,645
cat__ORGANIZATION_TYPE_Industry: type 4,0.0,646
cat__ORGANIZATION_TYPE_Industry: type 8,0.0,647
cat__ORGANIZATION_TYPE_Insurance,0.0,648
cat__ORGANIZATION_TYPE_Industry: type 6,0.0,649
cat__ORGANIZATION_TYPE_Industry: type 7,0.0,650
cat__ORGANIZATION_TYPE_Mobile,0.0,651
cat__ORGANIZATION_TYPE_Postal,0.0,652
cat__ORGANIZATION_TYPE_Religion,0.0,653
cat__EMERGENCYSTATE_MODE_No,0.0,654
cat__EMERGENCYSTATE_MODE_Yes,0.0,655
